"artist_name","track_name","release_date","genre","lyrics"
"The Specials","Ghost Town","1981","Ska","This town (Town) Is coming like a ghost town All the clubs have been closed down This place (Town) Is coming like a ghost town Bands won't play no more Too much fighting on the dance floor   Do you remember the good old days Before the ghost town? We danced and sang and the music played In a de boomtown   This town (Town) Is coming like a ghost town Why must the youth fight against themselves? Government leaving the youth on the shelf This place (Town) Is coming like a ghost town No job to be found in this country Can't get on no more The people getting angry   This town Is coming like a ghost town This town Is coming like a ghost town This town Is coming like a ghost town This town Is coming like a ghost town"
"The Specials","A Message to You, Rudy","1979","Ska","Stop your messing around Better think of your future Time you straighten right out Creating problems in town  Rudy a message to you Rudy a message to you  Stop your fooling around Time you straighten right out Better think of your future Else you’ll wind up in jail  Rudy a message to you Rudy a message to you  Stop your messing around Better think of your future Time you straighten right out Creating problems in town  Rudy a message to you Rudy a message to you Rudy oh it’s a message to you Rudy yeah it’s a message to you Rudy oh it’s a message to you Rudy oh it’s a message to you Rudy yeah it’s a message to you"
"The Specials","Gangsters","1979","Ska","(Bernie Rhodes knows Don't argue!)  Why must you record my phone calls? Are you planning a bootleg LP? Said you'd been threatened by gangsters Now it's you that’s threatening me  Can't fight corruption with con tricks They use the law to commit crime And I dread dread to think what the future'll bring When we’re living in gangster times (Don't call me Scarface!)   Don't interrupt while I'm talking Or they'll confiscate all your guitars And Catch-22 says if I sing the truth They won't make me an overnight star  Don't offer us legal protection They use the law to commit crime I dread to think what the future'll bring When we're living in real gangster times  (Bernie Rhodes knows Don't argue!)"
"The Specials","Monkey Man","1979","Ska","This one's for all the bouncers Big big monkey man  Ay-ay-ay ay-ay-ay Them a tell me you Huggin' up a big monkey man Ay-ay-ay ay-ay-ay Them a tell me you Huggin' up a big monkey man  I never saw you I only heard of you Huggin' up a big monkey man I never saw you I only heard of you Huggin' up a big monkey man  It's no lie it's no lie Them a tell me you Huggin' up a big monkey man It's no lie it's no lie Them a tell me you Huggin' up a big monkey man  Now I know that now I understand You're turning a monkey on me Now I know that now I understand You're turning a monkey on me  Ay-ay-ay ay-ay-ay Them a tell me you Huggin' up a big monkey man Ay-ay-ay ay-ay-ay Them a tell me you Huggin' up a big monkey man  La-la-la-la-la-la-la-la-la la-la-la-la-la-la La-la-la-la-la-la-la-la-la la-la-la-la-la-la  I was on my way to Banbury Cross Then I see a monkey upon a white horse With rings on his fingers bells on his toes Sing a little song wherever he be 'Cause he's a monkey 'cause he's a monkey 'Cause he's a witty-bitty-switty-bitty monkey man  Ay-ay-ay ay-ay-ay Them a tell me you Huggin' up a big monkey man Ay-ay-ay ay-ay-ay Them a tell me you Huggin' up a big monkey man"
"The Specials","Too Much Too Young","1980","Ska","You've done too much Much too young Now you're married with a kid When you could be having fun with me Oh no no gimme no more pickni You've done too much Much too young Now you're married with a son When you should be having fun with me We don't want we don't want We don't want no more pickni  Ain't he cute? No he ain't He's just another burden On the welfare state  You've done too much Much too young Now you're married with a kid When you could be having fun with me No gimme no gimme no gimme no more pickni  Call me immature Call me a poser I'd love to spread manure in your bed of roses Don't want to be rich Don't want to be famous But I'd really hate to have the same name as you  You've done too much Much too young Now you're married with a kid When you could be having fun with me Gi we de birth control we no want no pickni You've done too much Much too young Now you're chained to the cooker Making currant buns for tea Oh no no gimme no more pickni  Ain't you heard of the starving millions? Ain't you heard of contraception? You really want a program of sterilization? Take control of the population boom! It's in your living room Keep a generation gap Try wearing a cap  You've done too much Much too young Now you're married with a kid When you could be having fun with me Oh no no gimme no more pickni You've done too much Much too young Now you're staying every night watching programmes on TV We don't want we don't want we don't want no more pickni You've done too much Much too young Now you're married with a son When you should be having fun with me No give we no give we no give we no more pickni You've done too much Much too young Now you're chained to the cooker making currant buns for tea Gi we de birth control we no want no pickni You've done too much Much too young Now you're married to a man When you could be having fun Oh no no give me no more pickni   You've done too much You've done too much Much too young Done too much Much too young Now you're chained to the cooker Making beans on toast for tea You've done too much Much too young Now you're married with a kid When you could be having fun with me Oh no no give we no more pickni You've done too much Much too young Now you're staying every night watching programmes on TV You've done too much Much too young Now you're married to a man When you could be having fun with me We don' wan' we don' wan' we don' wan' no more pickni You've done too much Much too young Now you're chained to the cooker making cheese on toast for tea No give we no give we no give we no more pickni You've done too much Much too young Now you're married with a kid When you could be having fun with me You've done too much Much too young Now you're staying every night watching programmes on TV Oh no no give we no more pickni You've done too much Much too young Now you're married with a son When you should be having fun with me Oh no no give we no more pickni"
"The Specials","You’re Wondering Now","1979","Ska","Is everybody happy? Yuh cyaan come in Yuh cyaan come in  You're wondering now What to do now you know this is the end You're wondering how You will pay for the way you did behave  Curtain has fallen now you're on your own I won't return forever you will wait  You're wondering now What to do now you know this is the end   Curtain has fallen now you're on your own I won't return forever you will wait  You're wondering now What to do now you know this is the end You're wondering how You will pay for the way you did behave You're wondering now What to do now you know this is the end You're wondering now What to do now you know this is the end"
"The Specials","Nelson Mandela","1984","Ska","Free Nelson Mandela Free free Free free free Nelson Mandela Free Nelson Mandela Twenty-one years in captivity Shoes too small to fit his feet His body abused but his mind is still free Are you so blind that you cannot see? I said free Nelson Mandela I'm begging you free Nelson Mandela Pleaded the causes at the ANC Only one there in a large army Are you so blind that you cannot see? Are you so deaf that you cannot hear his plea? Free Nelson Mandela I'm begging you free Nelson Mandela Twenty-one years in captivity Are you so blind that you cannot see? Are you so deaf that you cannot hear? Are you so dumb that you cannot speak? I said free Nelson Mandela I'm begging you free Nelson Mandela Free Nelson Mandela Begging you begging you please Free Nelson Mandela You've got to you've got to You got to free You got to free You got to free Nelson Mandela Nelson Mandela I'm telling you telling you telling you You've got to free you've got to free You've got to free you've got to free Nelson Mandela"
"The Specials","Do the Dog","1979","Ska","All you punks and all you teds National Front and natty dreads Mods rockers hippies and skinheads Keep on fighting 'til you're dead  Who am I to say? Who am I to say? Am I just a hypocrite? Another piece of your bullshit Am I the dog that bit the hand of the man that feeds it?  Do the dog do the dog Do the dog not the donkey Do the dog don't be a jerk Do the dog watch who you work for Do the do the do the do the dog Everybody's doing the dog  Take your F.A. aggravation Fight it out on New Street station Master racial masturbation Causes National Front frustration  Who am I to say? To the IRA To the UDA Soldier boy from UK Am I just a hypocrite? Another piece of your bullshit Am I the dog that bit the hand of the man that feeds it?  Do the dog do the dog Do the dog not the donkey Do the dog don't be a jerk Do the dog watch who you work for Do the do the do the do the dog Do the do the do the do the dog Do the do the do the do the dog Everybody's doing the dog"
"The Specials","Enjoy Yourself (It’s Later Than You Think)","1980","Ska","Enjoy yourself it's later than you think Enjoy yourself while you're still in the pink The years go by as quickly as you wink Enjoy yourself enjoy yourself It's later than you think Hello I'm Terry And I'm going to enjoy myself first It's good to be wise when you're young 'Cos you can only be young but the once Enjoy yourself and have lots of fun So glad and live life longer than you've ever done Enjoy yourself it's later than you think Enjoy yourself while you're still in the pink The years go by as quickly as you wink Enjoy yourself enjoy yourself It's later than you think Never right yes I know Get wisdom knowledge and understanding These three were given free by the maker Go to school learn the rules don't be no faker It's not wise for you to be a foot stool Enjoy yourself it's later than you think Enjoy yourself while you're still in the pink The years go by as quickly as you wink Enjoy yourself enjoy yourself It's later than you think Enjoy yourself it's later than you think Enjoy yourself while you're still in the pink The years go by as quickly as you wink Enjoy yourself enjoy yourself It's later than you think"
"The Specials","Nite Klub","1979","Ska","Is this the in place to be? What am I doing here? Watching the girls go by Spending money on  Sleep all day It's the only way I'm a parasite I creep about at night  (Nite Klub) Is this the in place to be? (Nite Klub) What am I doin' here? (Nite Klub) Watching the girls go by Spending money on  Hey hey I don't work 'Cause I don't have to I don't have to work There's no no work to do  (Nite Klub) I'm a member of the Nite Klub oh-oh (Nite Klub) A fully paid-up member of the Nite Klub   I won't dance in a club like this All the girls are slags And the beer tastes just like piss  I'm a (Nite Klub) a parasite I creep (Nite Klub) about at night Yes I'm a member of the Nite Klub A fully paid-up member of the Nite Klub (Nite Klub) Is this the in place to be? (Nite Klub) What am I doing here? (Nite Klub) Watching the girls go by Spending money on beer!"
